id,movie,production_budget,domestic_gross,worldwide_gross,year,month,return_ratio
41,A Monster Calls,43000000.0,3740823.0,46414530.0,2017,January,0.1664035581395349
42,The Mechanic,42500000.0,29121498.0,76347393.0,2011,January,1.4816209647058824
43,The Firm,42000000.0,158340892.0,270340892.0,1993,June,9.206709142857143
44,21 Jump Street,42000000.0,138447667.0,202812429.0,2012,March,7.1252403809523805
45,Notting Hill,42000000.0,116089678.0,363728085.0,1999,May,10.424232452380952
46,Chicken Run,42000000.0,106793915.0,227793915.0,2000,June,6.966376904761905
47,Along Came Polly,42000000.0,88073507.0,173044410.0,2004,January,5.217093261904762
48,Boomerang,42000000.0,70052444.0,131052444.0,1992,July,3.788211619047619
49,BrÃ¼no,42000000.0,60054530.0,138708527.0,2009,July,3.7324537380952383
50,Cleopatra,42000000.0,57000000.0,71000000.0,1963,June,2.0476190476190474
51,Snatched,42000000.0,45852178.0,57852177.0,2017,May,1.4691513095238096
52,Here Comes the Boom,42000000.0,45290318.0,73239258.0,2012,October,1.8221327619047618
53,High Crimes,42000000.0,41543207.0,63781100.0,2002,April,1.5077215952380953
54,The Mirror Has Two Faces,42000000.0,41267469.0,41267469.0,1996,November,0.9651175714285715
55,Red Riding Hood,42000000.0,37662162.0,91678442.0,2011,March,2.0795381904761903
56,The Mothman Prophecies,42000000.0,35228696.0,56438555.0,2002,January,1.1825535952380952
57,Licence to Kill,42000000.0,34667015.0,156167015.0,1989,July,3.543667380952381
58,Holmes & Watson,42000000.0,30568743.0,41926605.0,2018,December,0.7260797142857143
59,One for the Money,42000000.0,26414527.0,36197221.0,2012,January,0.4907559047619048
60,15 Minutes,42000000.0,24375436.0,56331864.0,2001,March,0.921602380952381
61,Lord of War,42000000.0,24149632.0,60437727.0,2005,September,1.013984738095238
62,Super Mario Bros.,42000000.0,20844907.0,20844907.0,1993,May,-0.007385380952380952
63,Hero,42000000.0,19487173.0,66787173.0,1992,October,1.0541510952380952
64,Man on a Ledge,42000000.0,18620000.0,49621440.0,2012,January,0.6247961904761905
65,The Warrior's Way,42000000.0,5666340.0,8514325.0,2010,December,-0.6623651190476191
66,McHale's Navy,42000000.0,4408420.0,4408420.0,1997,April,-0.790075238095238
67,Micmacs,42000000.0,1259693.0,11756922.0,2010,May,-0.6900805952380953
68,Les BronzÃ©s 3: amis pour la vie,42000000.0,0.0,83833602.0,2006,December,0.9960381428571429
69,Pourquoi j'ai pas mangÃ© mon pÃ¨re,42000000.0,0.0,15451663.0,2015,December,-0.632103261904762
70,8 Mile,41000000.0,116724075.0,245768384.0,2002,November,7.841279487804878
71,Rocketman,41000000.0,57342725.0,108642725.0,2019,May,3.0484256097560976
72,A Knightâs Tale,41000000.0,56083966.0,100622586.0,2001,May,2.822111024390244
73,The Medallion,41000000.0,22108977.0,22108977.0,2003,August,0.07848668292682927
74,The Big Year,41000000.0,7204138.0,7684524.0,2011,October,-0.6368619024390244
75,The Sixth Sense,40000000.0,293506292.0,672806292.0,1999,August,23.1578146
76,Wedding Crashers,40000000.0,209218368.0,283218368.0,2005,July,11.3109184
77,The Karate Kid,40000000.0,176591618.0,351774938.0,2010,June,12.2091639
78,Fifty Shades of Grey,40000000.0,166167230.0,570998101.0,2015,February,17.429133275
79,The Proposal,40000000.0,163958031.0,314709717.0,2009,June,10.9666937
80,American Hustle,40000000.0,150117807.0,257878294.0,2013,December,9.199902525
81,John Wick: Chapter 3 â Parabellum,40000000.0,141744320.0,256498033.0,2019,May,8.956058825
82,Cheaper by the Dozen,40000000.0,138614544.0,190212113.0,2003,December,7.220666425
83,Lucy,40000000.0,126573960.0,457507776.0,2014,July,13.6020434
84,Lone Survivor,40000000.0,125095601.0,149804632.0,2013,December,5.872505825
85,Back to the Future Part II,40000000.0,118450002.0,332000000.0,1989,November,10.26125005
86,Double Jeopardy,40000000.0,116735231.0,177835231.0,1999,September,6.36426155
87,Spy Kids 3-D: Game Over,40000000.0,111760631.0,167851995.0,2003,July,5.99031565
88,A Time to Kill,40000000.0,108766007.0,152266007.0,1996,July,5.52580035
89,A League of Their Own,40000000.0,107533925.0,132440066.0,1992,July,4.999349775
90,The Conjuring 2: The Enfield Poltergeist,40000000.0,102470008.0,311262102.0,2016,June,9.34330275
91,The Social Network,40000000.0,96962694.0,224922135.0,2010,October,7.047120725
92,Julie & Julia,40000000.0,94125426.0,126646119.0,2009,August,4.519288625
93,He's Just Not That Into You,40000000.0,93953653.0,181053657.0,2009,February,5.87518275
94,John Wick: Chapter Two,40000000.0,92029184.0,171350009.0,2017,February,5.584479825
95,Ride Along 2,40000000.0,90862685.0,124827316.0,2016,January,4.392250025
96,Scary Movie 4,40000000.0,90710620.0,178710620.0,2006,April,5.735531
97,Get Hard,40000000.0,90411453.0,106511453.0,2015,March,3.92307265
98,Scream 3,40000000.0,89138076.0,161838076.0,2000,February,5.2744038
99,Back to the Future Part III,40000000.0,88055283.0,244088654.0,1990,May,7.303598425
100,The Accountant,40000000.0,86260045.0,152962083.0,2016,October,4.9805532
1,Dumb and Dumber To,40000000.0,86208010.0,156553592.0,2014,November,5.06904005
2,The Other Woman,40000000.0,83911193.0,195111193.0,2014,April,5.97555965
3,Bram Stoker's Dracula,40000000.0,82522790.0,215862692.0,1992,November,6.45963705
4,Eight Below,40000000.0,81612565.0,120455994.0,2006,February,4.051713975
5,The Talented Mr. Ripley,40000000.0,81292135.0,128792135.0,1999,December,4.25210675
6,The Intern,40000000.0,75764672.0,197115710.0,2015,September,5.82200955
7,The Last of the Mohicans,40000000.0,75505856.0,75505856.0,1992,September,2.7752928
8,Ray,40000000.0,75305995.0,124823094.0,2004,October,4.003227225
9,Sin City,40000000.0,74103820.0,158527918.0,2005,April,4.81579345
10,Bridge of Spies,40000000.0,72313754.0,162498338.0,2015,October,4.8703023
11,Vantage Point,40000000.0,72266306.0,150886329.0,2008,February,4.578815875
12,"I Love You, Man",40000000.0,72013010.0,92302502.0,2009,March,3.1078878
13,Shallow Hal,40000000.0,70836296.0,70836296.0,2001,November,2.5418148
14,JFK,40000000.0,70405498.0,205400000.0,1991,December,5.89513745
15,Big Momma's House 2,40000000.0,70165972.0,137047376.0,2006,January,4.1803337
16,The House with a Clock in its Walls,40000000.0,68549695.0,126331750.0,2018,September,3.872036125
17,Hacksaw Ridge,40000000.0,67209615.0,168904682.0,2016,November,4.902857425
18,The Mexican,40000000.0,66808615.0,145238250.0,2001,March,4.301171625
19,The Final Destination,40000000.0,66477700.0,187384627.0,2009,August,5.346558175
20,17 Again,40000000.0,64167069.0,139474906.0,2009,April,4.091049375
21,Unknown,40000000.0,63686397.0,136123083.0,2011,February,3.995237
22,Get Him to the Greek,40000000.0,61153526.0,91455875.0,2010,June,2.815235025
23,Gothika,40000000.0,59588068.0,141484812.0,2003,November,4.026822
24,Behind Enemy Lines,40000000.0,58855732.0,58855732.0,2001,November,1.9427866
25,The Lincoln Lawyer,40000000.0,58009200.0,87145086.0,2011,March,2.62885715
26,Shall We Dance?,40000000.0,57887882.0,118097882.0,2004,October,3.3996441
27,Invincible,40000000.0,57806952.0,58501127.0,2006,August,1.907701975
28,Escape From Planet Earth,40000000.0,57012977.0,74156610.0,2013,February,2.279239675
29,Small Soldiers,40000000.0,55143823.0,71743823.0,1998,July,2.17219115
30,Spawn,40000000.0,54979992.0,87949859.0,1997,July,2.573246275
31,Horrible Bosses 2,40000000.0,54445357.0,105945357.0,2014,November,3.00976785
32,The Count of Monte Cristo,40000000.0,54228104.0,75389090.0,2002,January,2.24042985
33,The Prestige,40000000.0,53089891.0,104407366.0,2006,October,2.937431425
34,The Lake House,40000000.0,52330111.0,114830111.0,2006,June,3.17900555
35,Predators,40000000.0,52000688.0,127234389.0,2010,July,3.480876925
36,The Odd Life of Timothy Green,40000000.0,51853450.0,55249159.0,2012,August,1.677565225
37,The Living Daylights,40000000.0,51185000.0,191200000.0,1987,July,5.059625
38,Apocalypto,40000000.0,50866635.0,121032272.0,2006,December,3.297472675
39,Music and Lyrics,40000000.0,50572589.0,146196885.0,2007,February,3.91923685
40,Legal Eagles,40000000.0,49851591.0,49851591.0,1986,June,1.49257955
41,Secret Window,40000000.0,47958031.0,92111551.0,2004,March,2.50173955
42,The Skeleton Key,40000000.0,47907715.0,92256918.0,2005,August,2.504115825
43,Jersey Boys,40000000.0,47047013.0,65282732.0,2014,June,1.808243625
44,Made of Honor,40000000.0,46012734.0,106548738.0,2008,May,2.8140368
45,The Rainmaker,40000000.0,45916769.0,45916769.0,1997,November,1.29583845
46,Medicine Man,40000000.0,44948240.0,44948240.0,1992,February,1.247412
47,Amistad,40000000.0,44212592.0,58250151.0,1997,December,1.561568575
48,A Million Ways to Die in The West,40000000.0,42720965.0,86778557.0,2014,May,2.23748805
49,Final Destination 5,40000000.0,42587643.0,155011165.0,2011,August,3.9399702
50,Widows,40000000.0,42402632.0,73866088.0,2018,November,1.906718
51,Fever Pitch,40000000.0,42071069.0,50071069.0,2005,April,1.30355345
52,Aliens vs. Predator - Requiem,40000000.0,41797066.0,128884494.0,2007,December,3.267039
53,The Water Horse: Legend of the Deep,40000000.0,40412817.0,103429755.0,2007,December,2.5960643
54,Sex Tape,40000000.0,38543473.0,126069509.0,2014,July,3.11532455
55,Scream 4,40000000.0,38180928.0,95989590.0,2011,April,2.35426295
56,Ri¢hie Ri¢h,40000000.0,38087756.0,38087756.0,1994,December,0.9043878
57,Autumn in New York,40000000.0,37752931.0,90717684.0,2000,August,2.211765375
58,Paul,40000000.0,37412945.0,101162106.0,2011,March,2.464376275
59,The Guilt Trip,40000000.0,37134215.0,41294674.0,2012,December,0.960722225
60,Colombiana,40000000.0,36665854.0,72295262.0,2011,August,1.7240279
61,8MM,40000000.0,36443442.0,96398826.0,1999,February,2.3210567
62,The Commuter,40000000.0,36343858.0,101985431.0,2018,January,2.458232225
63,Hanging Up,40000000.0,36037909.0,51867723.0,2000,February,1.1976408
64,The Doors,40000000.0,34416893.0,34416893.0,1991,March,0.72084465
65,Mickey Blue Eyes,40000000.0,33864342.0,53864342.0,1999,August,1.1932171
66,Pay it Forward,40000000.0,33508922.0,55696705.0,2000,October,1.230140675
67,Arthur,40000000.0,33035397.0,47787943.0,2011,April,1.0205835
68,Drillbit Taylor,40000000.0,32862104.0,49686263.0,2008,March,1.063709175
69,Patriots Day,40000000.0,31886361.0,52837989.0,2016,December,1.11810875
70,Extremely Loud and Incredibly Close,40000000.0,31847881.0,55247881.0,2011,December,1.17739405
71,The Shadow,40000000.0,31835600.0,31835600.0,1994,July,0.59178
72,Transporter 3,40000000.0,31715062.0,107235592.0,2008,November,2.47376635
73,Morning Glory,40000000.0,31011732.0,59795070.0,2010,November,1.27017005
74,Get Rich or Die Tryin',40000000.0,30981850.0,46666955.0,2005,November,0.941220125
75,Long Shot,40000000.0,30202860.0,43711031.0,2019,May,0.847847275
76,The Art of War,40000000.0,30199105.0,30199105.0,2000,August,0.50995525
77,Grudge Match,40000000.0,29807260.0,69807260.0,2013,December,1.490363
78,Bless the Child,40000000.0,29374178.0,40435694.0,2000,August,0.7452468
79,Rent,40000000.0,29077547.0,31670620.0,2005,November,0.518704175
80,The Out-of-Towners,40000000.0,28544120.0,28544120.0,1999,April,0.427206
81,The Nut Job 2: Nutty by Nature,40000000.0,28370522.0,57438389.0,2017,August,1.145222775
82,The Island of Dr. Moreau,40000000.0,27682712.0,27682712.0,1996,August,0.3841356
83,The Musketeer,40000000.0,27053815.0,27053815.0,2001,September,0.35269075
84,Resident Evil: The Final Chapter,40000000.0,26844692.0,314101190.0,2017,January,7.52364705
85,The Other Boleyn Girl,40000000.0,26814957.0,78269970.0,2008,February,1.627123175
86,The House,40000000.0,25584504.0,31192425.0,2017,June,0.419423225
87,Sweet November,40000000.0,25288103.0,65754228.0,2001,February,1.276058275
88,The Reaping,40000000.0,25126214.0,62226214.0,2007,April,1.1838107
89,Season of the Witch,40000000.0,24827228.0,91126600.0,2011,January,1.8988457
90,Renaissance Man,40000000.0,24172899.0,24172899.0,1994,June,0.20864495
91,Quest for Camelot,40000000.0,22772500.0,38172500.0,1998,May,0.523625
92,City by the Sea,40000000.0,22433915.0,22433915.0,2002,September,0.12169575
93,At First Sight,40000000.0,22365133.0,22365133.0,1999,January,0.11825665
94,Mechanic: Resurrection,40000000.0,21218403.0,109738840.0,2016,August,2.273931075
95,Torque,40000000.0,21176322.0,46176322.0,2004,January,0.6838161
96,Fantastic Mr. Fox,40000000.0,21002919.0,47083412.0,2009,November,0.702158275
97,Showgirls,40000000.0,20350754.0,37750754.0,1995,September,0.4525377
98,City Hall,40000000.0,20278055.0,20278055.0,1996,February,0.01390275
99,Big Miracle,40000000.0,20157300.0,25268680.0,2012,February,0.1356495
100,The Impossible,40000000.0,19019882.0,169590606.0,2012,December,3.7152622
1,A Thousand Words,40000000.0,18450127.0,20790486.0,2012,March,-0.018984675
2,Marie Antoinette,40000000.0,15962471.0,60862471.0,2006,October,0.92062355
3,Get Carter,40000000.0,14967182.0,19417182.0,2000,October,-0.1403909
4,Kiss of Death,40000000.0,14942422.0,14942422.0,1995,April,-0.2528789
5,"Life, or Something Like It",40000000.0,14448589.0,14448589.0,2002,April,-0.27757055
6,Ishtar,40000000.0,14375181.0,14375181.0,1987,May,-0.28124095
7,Memoirs of an Invisible Man,40000000.0,14358033.0,14358033.0,1992,February,-0.28209835
8,Amelia,40000000.0,14279575.0,19756077.0,2009,October,-0.1491087
9,Cirque du Freak: The Vampire's Assistant,40000000.0,14046595.0,39753957.0,2009,October,0.3450138
10,New York Minute,40000000.0,14018364.0,21215882.0,2004,May,-0.11914385
11,The Deep End of the Ocean,40000000.0,13508635.0,13508635.0,1999,March,-0.32456825
12,Alfie,40000000.0,13395939.0,35195939.0,2004,November,0.21479695
13,FearDotCom,40000000.0,13208023.0,13208023.0,2002,August,-0.33959885
14,Soul Men,40000000.0,12082391.0,12345883.0,2008,November,-0.38929315
15,The Gunman,40000000.0,10664749.0,18594227.0,2015,March,-0.2685256
16,Universal Soldier II: The Return,40000000.0,10447421.0,10717421.0,1999,August,-0.47087895
17,Pandorum,40000000.0,10330853.0,17033431.0,2009,September,-0.3158929
18,Duplex,40000000.0,9652000.0,10070651.0,2003,September,-0.506933725
19,Paranoia,40000000.0,7388654.0,16340767.0,2013,August,-0.406764475
20,Raise the Titanic,40000000.0,7000000.0,7000000.0,1980,August,-0.65
21,Baahubali: The Beginning,40000000.0,6738000.0,26736665.0,2015,July,-0.163133375
22,The Hurricane Heist,40000000.0,6115824.0,30963684.0,2018,March,-0.0730123
23,Impostor,40000000.0,6114237.0,7974607.0,2002,January,-0.6477789
24,Victor Frankenstein,40000000.0,5775076.0,31124367.0,2015,November,-0.077513925
25,Extreme Ops,40000000.0,4835968.0,12624471.0,2002,November,-0.563489025
26,Just Visiting,40000000.0,4777007.0,16172200.0,2001,April,-0.476269825
27,Snowpiercer,40000000.0,4563029.0,88069880.0,2014,June,1.315822725
28,Sunshine,40000000.0,3688560.0,32030610.0,2007,July,-0.10702075
29,The Hudsucker Proxy,40000000.0,2816518.0,14938149.0,1994,March,-0.556133325
30,Billy Lynnâs Long Halftime Walk,40000000.0,1738477.0,30230402.0,2016,November,-0.200778025
31,Pirates,40000000.0,1641825.0,6341825.0,1986,July,-0.80040875
32,Delgo,40000000.0,915840.0,915840.0,2008,December,-0.954208
33,The Hunting Party,40000000.0,876671.0,7729552.0,2007,September,-0.784844425
34,Alex Rider: Operation Stormbreaker,40000000.0,659210.0,20722450.0,2006,October,-0.4654585
35,Red Cliff,40000000.0,627047.0,119627047.0,2009,November,2.00635235
36,The Last Shot,40000000.0,463730.0,463730.0,2004,September,-0.9768135
37,Nomad,40000000.0,79123.0,79123.0,2007,March,-0.99604385
38,Un monstre Ã Paris,40000000.0,0.0,27000381.0,2013,April,-0.324990475
39,Kursk,40000000.0,0.0,4212799.0,2019,June,-0.894680025
40,USS Indianapolis: Men of Courage,40000000.0,0.0,1663785.0,2016,November,-0.958405375
41,Dragon Nest Warriors' Dawn,40000000.0,0.0,734423.0,2014,December,-0.981639425
42,The Crow,40000000.0,0.0,0.0,2018,December,-1.0
43,The Goldfinch,40000000.0,0.0,0.0,2019,September,-1.0
44,Down Under Cover,40000000.0,0.0,0.0,2019,December,-1.0
45,The Time Traveler's Wife,39000000.0,63414846.0,102332135.0,2009,August,3.2499225897435897
46,Superman III,39000000.0,59950623.0,59950623.0,1983,June,2.074390923076923
47,Because I Said So,39000000.0,42674040.0,69538833.0,2007,February,1.8772531538461539
48,Frankenweenie,39000000.0,35287788.0,81150788.0,2012,October,1.9856045128205129
49,Sgt. Bilko,39000000.0,30356589.0,37956589.0,1996,March,0.7516199487179487
50,Serenity,39000000.0,25514517.0,40319440.0,2005,September,0.6880501794871795
51,Shoot 'Em Up,39000000.0,12796824.0,26796824.0,2007,September,0.01522174358974359
52,Against the Ropes,39000000.0,5881504.0,6429865.0,2004,February,-0.6843238717948718
53,Yi dai zong shi,38600000.0,6594959.0,57987299.0,2013,August,0.6731154922279793
54,The Fast and the Furious,38000000.0,144512310.0,206512310.0,2001,June,8.23749
55,Sweet Home Alabama,38000000.0,127214072.0,182365114.0,2002,September,7.146820684210526
56,The Ugly Truth,38000000.0,88915214.0,205298907.0,2009,July,6.742476868421052
57,Spy Kids 2: The Island of Lost Dreams,38000000.0,85846296.0,119721296.0,2002,August,4.409673473684211
58,Star Trek: Generations,38000000.0,75671262.0,120000000.0,1994,November,4.149243736842105
59,Captain Underpants: The First Epic Movie,38000000.0,73921000.0,126577874.0,2017,June,4.276286157894737
60,Paul Blart: Mall Cop 2,38000000.0,71091594.0,107650646.0,2015,April,3.7037431578947366
61,Mouse Hunt,38000000.0,61894591.0,61894591.0,1997,December,2.2576100526315788
62,Why Him?,38000000.0,60323786.0,117425156.0,2016,December,3.677603736842105
63,Water for Elephants,38000000.0,58709717.0,116809717.0,2011,April,3.6189324736842106
64,Life as We Know It,38000000.0,53374681.0,105887837.0,2010,October,3.1911188947368423
65,The Hurricane,38000000.0,50699241.0,73956241.0,1999,December,2.2804074210526317
66,Riddick,38000000.0,42025135.0,94763758.0,2013,September,2.599707710526316
67,Heartbreakers,38000000.0,40334024.0,57753825.0,2001,March,1.5812591842105264
68,Enough,38000000.0,39177215.0,50970660.0,2002,May,1.3723125
69,The 5th Wave,38000000.0,34912982.0,111336398.0,2016,January,2.8486678947368422
70,Push,38000000.0,31811527.0,49678401.0,2009,February,1.1444717894736842
71,Rush,38000000.0,26947624.0,98230839.0,2013,September,2.2941700789473685
72,Angel Eyes,38000000.0,24044532.0,29544532.0,2001,May,0.4102385263157895
73,Joe Somebody,38000000.0,22770864.0,24515990.0,2001,December,0.2443908947368421
74,The Ninth Gate,38000000.0,18653746.0,58394308.0,2000,March,1.0275803684210527
75,Only the Brave,38000000.0,18340051.0,24555177.0,2017,October,0.12882178947368422
76,Extreme Measures,38000000.0,17378193.0,17378193.0,1996,September,-0.08535826315789474
77,The Thing,38000000.0,16999934.0,27573078.0,2011,October,0.172974
78,Rock Star,38000000.0,16991902.0,19317765.0,2001,September,-0.04448244736842105
79,White Squall,38000000.0,10229300.0,10229300.0,1996,February,-0.4616157894736842
80,City of Ember,38000000.0,7873007.0,17831558.0,2008,October,-0.32356407894736844
81,Switchback,38000000.0,6504442.0,6504442.0,1997,October,-0.6576609473684211
82,The Sisters Brothers,38000000.0,3143056.0,13143056.0,2018,September,-0.571418105263158
83,Texas Rangers,38000000.0,623374.0,623374.0,2001,November,-0.9671908421052632
84,Virgin Territory,38000000.0,0.0,5473041.0,2008,August,-0.8559726052631579
85,The Upside,37500000.0,108235497.0,119024536.0,2019,January,5.060267546666666
86,What to Expect When You're Expecting,37500000.0,41152203.0,88473016.0,2012,May,2.4566725066666666
87,The Master,37500000.0,16247159.0,50647416.0,2012,September,0.7838553333333333
88,The Express,37500000.0,9793406.0,9813309.0,2008,October,-0.47715426666666666
89,Twilight,37000000.0,192769854.0,402280159.0,2008,November,15.082432783783783
90,We're the Millers,37000000.0,150394119.0,267816276.0,2013,August,10.302983648648649
91,Creed,37000000.0,109767581.0,173567581.0,2015,November,6.657707081081081
92,The Town,37000000.0,92186262.0,152566881.0,2010,September,5.614949810810811
93,Dolphin Tale,37000000.0,72286779.0,96068724.0,2011,September,3.5501487297297296
94,Game Night,37000000.0,69179066.0,117378084.0,2018,February,4.042085135135135
95,Burn After Reading,37000000.0,60355347.0,168167798.0,2008,September,5.176301216216216
96,13 Going On 30,37000000.0,57139723.0,97658712.0,2004,April,3.1837414864864866
97,Nim's Island,37000000.0,48006762.0,101857425.0,2008,April,3.0503834324324326
98,How to be Single,37000000.0,46843513.0,100003780.0,2016,February,2.9688457567567568
99,Cop Out,37000000.0,44875481.0,55909910.0,2010,February,1.7239294864864865
100,The Rite,37000000.0,33047633.0,97143987.0,2011,January,2.5186924324324322
1,Space Chimps,37000000.0,30105968.0,67029956.0,2008,July,1.6252952432432433
2,Magnolia,37000000.0,22450975.0,48446802.0,1999,December,0.9161561351351352
3,Aloha,37000000.0,21052030.0,25387091.0,2015,May,0.2551113783783784
4,Obitaemyy ostrov,36500000.0,0.0,15000000.0,2009,December,-0.589041095890411
5,A Star is Born,36000000.0,215288866.0,433449571.0,2018,October,17.02051213888889
6,Gnomeo and Juliet,36000000.0,99967670.0,193737977.0,2011,February,7.158490194444444
7,John Q,36000000.0,71026631.0,102226631.0,2002,February,3.812590611111111
8,Blue Streak,36000000.0,68208190.0,117448157.0,1999,September,4.15712075
9,Never Say Never Again,36000000.0,55500000.0,160000000.0,1983,October,4.986111111111111
10,Hot Tub Time Machine,36000000.0,50269859.0,65967750.0,2010,March,2.2288224722222223
11,Breakdown,36000000.0,50159144.0,50159144.0,1997,May,1.7866191111111112
12,Dolphin Tale 2,36000000.0,42024533.0,57824533.0,2014,September,1.7735851666666667
13,Collateral Beauty,36000000.0,31016021.0,85309093.0,2016,December,2.231253166666667
14,A Man Apart,36000000.0,26500000.0,43797731.0,2003,April,0.95271475
15,Reindeer Games,36000000.0,23360779.0,23360779.0,2000,February,0.29782105555555555
16,Snow Falling on Cedars,36000000.0,14378353.0,14378353.0,1999,December,-0.20120261111111112
17,Ghosts of Mississippi,36000000.0,13052741.0,13052741.0,1996,December,-0.2748477222222222
18,Gattaca,36000000.0,12532777.0,12532777.0,1997,October,-0.3037346111111111
19,Isn't She Great,36000000.0,2954405.0,2954405.0,2000,January,-0.8358663888888889
20,Yip Man 3,36000000.0,2679437.0,157300954.0,2016,January,3.44389975
21,There Be Dragons,36000000.0,1069334.0,4020990.0,2011,May,-0.8586021111111111
22,Queen of the Desert,36000000.0,0.0,1578543.0,2017,April,-0.9561515833333334
23,Head of State,35200000.0,37788228.0,38283765.0,2003,March,1.1611361647727272
24,It,35000000.0,327481748.0,697457969.0,2017,September,28.283991914285714
25,The Hangover,35000000.0,277322503.0,465764086.0,2009,June,20.2310454
26,The Blind Side,35000000.0,255959475.0,305705794.0,2009,November,15.047579114285714
27,Batman,35000000.0,251188924.0,411348924.0,1989,June,17.9296528
28,Austin Powers: The Spy Who Shagged Me,35000000.0,206040085.0,312383487.0,1999,June,13.812102057142857
29,True Grit,35000000.0,171243005.0,252276928.0,2010,December,11.100569514285715
30,Lethal Weapon 3,35000000.0,144731527.0,319700000.0,1992,May,12.2694722
31,Rush Hour,35000000.0,141186864.0,245300000.0,1998,September,10.042481828571429
32,Identity Thief,35000000.0,134506920.0,175361578.0,2013,February,7.853385657142857
33,The Devil Wears Prada,35000000.0,124740460.0,326073155.0,2006,June,11.880389
34,Horrible Bosses,35000000.0,117538559.0,212417601.0,2011,July,8.427318857142858
35,Spy Kids,35000000.0,112692062.0,197692062.0,2001,March,7.868117828571428
36,Trainwreck,35000000.0,110212700.0,141123897.0,2015,July,6.181045628571429
37,Saving Mr. Banks,35000000.0,83299761.0,114962525.0,2013,December,4.664636742857143
38,Star Trek: The Motion Picture,35000000.0,82258456.0,139000000.0,1979,December,5.321670171428571
39,21,35000000.0,81159365.0,159846429.0,2008,March,5.885879828571428
40,What Happens in Vegas...,35000000.0,80277646.0,218535708.0,2008,May,7.5375244
41,Cape Fear,35000000.0,79091969.0,182291969.0,1991,November,6.468112514285714
42,The English Patient,35000000.0,78716374.0,231710008.0,1996,November,7.8693252
43,Hotel for Dogs,35000000.0,73178547.0,122357172.0,2009,January,4.586734828571428
44,Guess Who,35000000.0,68915888.0,102115888.0,2005,March,3.8866221714285714
45,This is 40,35000000.0,67544505.0,90221182.0,2012,December,3.5075910571428572
46,L.A. Confidential,35000000.0,64604977.0,126204977.0,1997,September,4.451712971428571
47,Sky High,35000000.0,63939454.0,83109359.0,2005,July,3.201394657142857
48,In & Out,35000000.0,63826569.0,83226569.0,1997,September,3.2015182285714285
49,A Nightmare on Elm Street,35000000.0,63075011.0,117729621.0,2010,April,4.165846628571429
50,The Cell,35000000.0,61280963.0,85911226.0,2000,August,3.205491114285714
51,Species,35000000.0,60054449.0,113354449.0,1995,July,3.954539942857143
52,The Benchwarmers,35000000.0,59843754.0,65063726.0,2006,April,2.5687851428571427
53,Secretariat,35000000.0,59699513.0,60376247.0,2010,October,2.430736
54,The Man in the Iron Mask,35000000.0,56968169.0,56968169.0,1998,March,2.2553239428571428
55,Friends with Benefits,35000000.0,55802754.0,146595891.0,2011,July,4.782818428571429
56,Neighbors 2: Sorority Rising,35000000.0,55340730.0,108757621.0,2016,May,3.6885243142857145
57,TMNT,35000000.0,54149098.0,96096018.0,2007,March,3.2927176
58,Radio,35000000.0,52333738.0,53293628.0,2003,October,2.0179247428571427
59,Sicario: Day of the Soldado,35000000.0,50065850.0,75885196.0,2018,June,2.5986013142857143
60,Old Dogs,35000000.0,49492060.0,95104304.0,2009,November,3.1313246857142856
61,Malcolm X,35000000.0,48169910.0,48169910.0,1992,November,1.7525662857142856
62,Poltergeist,35000000.0,47425125.0,95713069.0,2015,May,3.089662685714286
63,Goosebumps 2: Haunted Halloween,35000000.0,46697321.0,93291478.0,2018,October,2.9996799714285713
64,12 Strong,35000000.0,45819713.0,71118378.0,2018,January,2.3410883142857144
65,Underworld 3: Rise of the Lycans,35000000.0,45802315.0,89102315.0,2009,January,2.854418
66,Must Love Dogs,35000000.0,43894863.0,58405313.0,2005,July,1.9228621714285714
67,License to Wed,35000000.0,43799818.0,70187088.0,2007,July,2.256768742857143
68,Donnie Brasco,35000000.0,41954997.0,65303052.0,1997,February,2.064515685714286
69,Max Payne,35000000.0,40689393.0,87775050.0,2008,October,2.6704126571428572
70,Resident Evil,35000000.0,40119709.0,103787401.0,2002,March,3.111631714285714
71,The Ladykillers,35000000.0,39692139.0,77392139.0,2004,March,2.345265085714286
72,Something Borrowed,35000000.0,39046489.0,65084116.0,2011,May,1.9751601428571428
73,The Nativity Story,35000000.0,37629831.0,46309644.0,2006,December,1.3982707142857143
74,In Time,35000000.0,37553932.0,165103952.0,2011,October,4.790225257142857
75,The Back-up Plan,35000000.0,37490007.0,75281179.0,2010,April,2.2220338857142856
76,J. Edgar,35000000.0,37306030.0,84606030.0,2011,November,2.4832017142857143
77,Bounce,35000000.0,36805288.0,53425292.0,2000,November,1.5780165714285714
78,Mile 22,35000000.0,36108758.0,66295121.0,2018,August,1.9258251142857143
79,Hot Pursuit,35000000.0,34580201.0,45671512.0,2015,May,1.2929060857142858
80,Concussion,35000000.0,34531832.0,50363790.0,2015,December,1.4255892
81,The Foreigner,35000000.0,34393507.0,140783360.0,2017,October,4.005053342857143
82,Closer,35000000.0,33987757.0,116177695.0,2004,December,3.2904414857142856
83,Street Fighter,35000000.0,33423000.0,99423000.0,1994,December,2.7956
84,Black Knight,35000000.0,33422806.0,33422806.0,2001,November,0.9098746285714285
